year,tempo
1969,129.171
1969,132.77
1969,63.05
1969,165.007
1969,178.946
1969,118.628
1969,108.217
1969,89.74
1969,98.429
1969,154.206
1969,93.584
1969,139.539
1969,196.605
1969,133.522
1969,75.454
1969,128.903
1969,124.011
1969,181.701
1969,130.811
1969,127.671
1969,82.879
1969,120.794
1969,86.327
1969,144.376
1969,146.913
1969,173.93
1969,116.557
1969,117.303
1969,118.867
1969,101.085
1969,108.748
1969,145.224
1969,141.694
1969,86.762
1969,124.348
1969,80.608
1969,87.926
1969,97.161
1969,97.968
1969,117.472
1969,124.181
1969,136.058
1969,185.503
1969,101.876
1969,164.315
1969,114.523
1969,120.653
1969,155.746
1969,92.225
1969,120.082
1969,84.319
1969,115.732
1969,90.12
1969,148.634
1969,109.84
1969,124.491
1969,97.235
1969,78.086
1969,82.736
1969,126.866
1969,120.722
1969,131.12
1969,81.257
1969,174.464
1969,109.251
1969,80.652
1969,78.476
1969,176.193
1969,108.854
1969,74.994
1969,135.142
1969,123.444
1969,88.916
1969,94.582
1969,158.174
1969,161.982
1969,104.349
1969,99.855
1969,96.346
1969,92.527
1969,76.835
1969,90.768
1969,137.317
1969,80.523
1969,120.834
1969,88.989
1969,127.122
1969,100.687
1969,81.053
1969,81.599
1969,97.968
1969,107.041
1969,79.202
1969,149.141
1969,118.504
1969,166.829
1969,90.527
1969,142.748
1969,89.574
1969,150.17
1970,116.122
1970,76.271
1970,143.462
1970,108.875
1970,112.937
1970,94.461
1970,86.204
1970,128.157
1970,163.015
1970,102.762
1970,151.867
1970,120.919
1970,115.669
1970,139.72
1970,155.588
1970,98.805
1970,120.059
1970,140.279
1970,126.867
1970,67.409
1970,182.63
1970,130.318
1970,99.678
1970,85.527
1970,152.113
1970,135.993
1970,103.317
1970,79.255
1970,94.769
1970,79.764
1970,131.248
1970,93.017
1970,147.448
1970,121.059
1970,75.601
1970,105.318
1970,126.637
1970,128.399
1970,152.126
1970,154.7
1970,77.464
1970,93.212
1970,105.205
1970,76.963
1970,75.798
1970,83.886
1970,82.751
1970,128.69
1970,123.566
1970,141.378
1970,136.413
1970,170.55
1970,126.553
1970,198.731
1970,131.26
1970,81.962
1970,127.827
1970,85.622
1970,122.565
1970,119.994
1970,123.095
1970,138.652
1970,112.62
